agents,atk_entry_rate,def_entry_rate,atk_entry_success,def_entry_success,atk_kills_per_engagement,def_kills_per_engagement,atk_assist_rate,def_assist_rate,atk_adr,def_adr,atk_acs,def_acs,role,n_player_maps,cluster_k4,cluster_k6
astra,0.07913003239241093,0.12909009412819364,0.4678362573099415,0.4878472222222222,0.485654789449329,0.497310623038996,0.20900439238653,0.21554149085794655,112.73053810039725,120.33416954719772,172.6125891244905,183.92576381365114,controller,658,1,4
breach,0.07156673114119923,0.05805243445692884,0.43243243243243246,0.45161290322580644,0.4796905222437137,0.43820224719101125,0.2082695252679939,0.21585903083700442,108.41666666666667,117.8888888888889,167.53472222222223,183.93055555555554,initiator,78,1,0
brimstone,0.08056872037914692,0.1148691767708998,0.453781512605042,0.46111111111111114,0.4888287068381855,0.4952137843012125,0.27277203348104384,0.21532298447671508,120.88547619047618,123.87666666666667,184.4142857142857,190.54214285714286,controller,220,1,4
chamber,0.19968051118210864,0.20015948963317384,0.58,0.6613545816733067,0.5527156549520766,0.5590111642743222,0.06845238095238096,0.07794117647058824,137.42903225806452,132.78252688172043,216.58978494623656,200.06451612903226,sentinel,164,3,1
cypher,0.12944983818770225,0.11802232854864433,0.4375,0.5540540540540541,0.5097087378640777,0.5023923444976076,0.1069364161849711,0.15212981744421908,127.36495397056893,126.39478590334205,195.12558144469907,192.75262691853598,sentinel,176,0,2
fade,0.08560311284046693,0.11131873998932194,0.42207792207792205,0.5083932853717026,0.47109505280711506,0.5061398825413774,0.17533807013522806,0.16495764600980828,104.33744158790456,126.98404831622423,159.07696387117684,194.68579540315653,initiator,542,1,4
gekko,0.10638297872340426,0.10843373493975904,0.13333333333333333,0.4444444444444444,0.3546099290780142,0.5481927710843374,0.16568047337278108,0.16161616161616163,79.2,136.0,119.93333333333335,203.51666666666668,initiator,22,2,3
harbor,0.10465116279069768,0.096,0.3333333333333333,0.5,0.4883720930232558,0.424,0.16097560975609757,0.25595238095238093,117.33333333333334,93.88095238095238,176.97619047619045,149.11904761904762,controller,22,1,0
iso,0.2198581560283688,0.13821138211382114,0.5161290322580645,0.47058823529411764,0.45390070921985815,0.44715447154471544,0.12422360248447205,0.13986013986013987,138.46666666666667,128.26666666666668,204.8,205.1,duelist,18,0,2
jett,0.24757281553398058,0.19588360539389638,0.4677871148459384,0.6376811594202898,0.49791955617198336,0.5592618878637331,0.08849557522123894,0.07545931758530183,137.0045177045177,143.63833943833944,214.2318681318681,218.41581196581197,duelist,180,3,1
