agents,kills,deaths,assists,fk,fd,adr,acs,n_maps,n_players,entry_rate,entry_success,death_share,kills_per_engagement,assist_rate,role,side,cluster
astra,2099.0,2223.0,1142.0,160.0,182.0,112.73053810039725,172.6125891244905,329,73,0.07913003239241093,0.4678362573099415,0.514345210550671,0.485654789449329,0.20900439238653,controller,attack,1
brimstone,722.0,755.0,554.0,54.0,65.0,120.88547619047618,184.4142857142857,110,50,0.08056872037914692,0.453781512605042,0.5111712931618145,0.4888287068381855,0.27277203348104384,controller,attack,1
chamber,692.0,560.0,92.0,145.0,105.0,137.42903225806452,216.58978494623656,82,31,0.19968051118210864,0.58,0.4472843450479233,0.5527156549520766,0.06845238095238096,sentinel,attack,4
cypher,630.0,606.0,148.0,70.0,90.0,127.36495397056893,195.12558144469907,88,22,0.12944983818770225,0.4375,0.49029126213592233,0.5097087378640777,0.1069364161849711,sentinel,attack,0
fade,1695.0,1903.0,765.0,130.0,178.0,104.33744158790456,159.07696387117684,271,54,0.08560311284046693,0.42207792207792205,0.5289049471928849,0.47109505280711506,0.17533807013522806,initiator,attack,5
jett,718.0,724.0,140.0,167.0,190.0,137.0045177045177,214.2318681318681,90,39,0.24757281553398058,0.4677871148459384,0.5020804438280166,0.49791955617198336,0.08849557522123894,duelist,attack,3
kayo,446.0,496.0,390.0,33.0,70.0,121.05883699633699,193.70746336996336,70,27,0.10934182590233546,0.32038834951456313,0.5265392781316348,0.4734607218683652,0.2927927927927928,initiator,attack,2
killjoy,668.0,756.0,152.0,64.0,115.0,115.47760770975057,165.7721088435374,108,42,0.12570224719101122,0.3575418994413408,0.5308988764044944,0.4691011235955056,0.09644670050761421,sentinel,attack,5
neon,1658.0,1758.0,447.0,358.0,468.0,121.73518237082067,195.12619047619046,225,48,0.24180327868852458,0.43341404358353514,0.5146370023419203,0.4853629976580796,0.11571317628785918,duelist,attack,3
omen,2381.0,2495.0,1309.0,235.0,281.0,111.68953162222394,174.6090489425105,363,66,0.10582444626743231,0.45542635658914726,0.5116899097621,0.4883100902378999,0.2116410670978173,controller,attack,1
raze,919.0,935.0,195.0,177.0,245.0,143.70862193362194,223.31277056277057,119,33,0.22761596548004315,0.4194312796208531,0.5043149946062567,0.49568500539374327,0.0951683748169839,duelist,attack,3
skye,520.0,629.0,376.0,45.0,54.0,96.70599489795919,149.4596088435374,89,28,0.08616187989556136,0.45454545454545453,0.5474325500435161,0.4525674499564839,0.24655737704918032,initiator,attack,5
sova,2224.0,2470.0,880.0,161.0,204.0,116.30833843111621,170.57290861401972,361,55,0.07775884107371112,0.4410958904109589,0.5262036642522369,0.4737963357477631,0.15787585217079297,initiator,attack,5
tejo,674.0,651.0,197.0,64.0,75.0,122.64949494949495,183.1924963924964,94,33,0.10490566037735849,0.460431654676259,0.4913207547169811,0.5086792452830189,0.12943495400788435,initiator,attack,0
veto,407.0,379.0,59.0,64.0,66.0,147.28379556950986,223.83342054770625,51,21,0.16539440203562342,0.49230769230769234,0.4821882951653944,0.5178117048346056,0.06982248520710059,sentinel,attack,0
viper,3181.0,3053.0,918.0,368.0,396.0,131.6265382438482,197.90144753396905,438,77,0.12255373756817453,0.4816753926701571,0.4897337183188964,0.5102662816811037,0.12835570469798657,controller,attack,0
waylay,2119.0,2264.0,591.0,482.0,563.0,121.32785026209396,191.30768140200914,294,63,0.23842117271275381,0.46124401913875596,0.5165411818389231,0.4834588181610769,0.11881785283474065,duelist,attack,3
yoru,3485.0,3515.0,953.0,629.0,741.0,126.82549254876179,199.15204942493403,453,66,0.1957142857142857,0.4591240875912409,0.5021428571428571,0.49785714285714283,0.11982899534766754,duelist,attack,3
