agents,kills,deaths,assists,fk,fd,adr,acs,n_maps,n_players,entry_rate,entry_success,death_share,kills_per_engagement,assist_rate,role,side,cluster
astra,2219.0,2243.0,1226.0,281.0,295.0,120.33416954719772,183.92576381365114,329,73,0.12909009412819364,0.4878472222222222,0.502689376961004,0.497310623038996,0.21554149085794655,controller,defend,0
brimstone,776.0,791.0,430.0,83.0,97.0,123.87666666666667,190.54214285714286,110,50,0.1148691767708998,0.46111111111111114,0.5047862156987875,0.4952137843012125,0.21532298447671508,controller,defend,0
chamber,701.0,553.0,106.0,166.0,85.0,132.78252688172043,200.06451612903226,82,31,0.20015948963317384,0.6613545816733067,0.4409888357256778,0.5590111642743222,0.07794117647058824,sentinel,defend,5
cypher,630.0,624.0,225.0,82.0,66.0,126.39478590334205,192.75262691853598,88,22,0.11802232854864433,0.5540540540540541,0.49760765550239233,0.5023923444976076,0.15212981744421908,sentinel,defend,2
fade,1896.0,1850.0,740.0,212.0,205.0,126.98404831622423,194.68579540315653,271,54,0.11131873998932194,0.5083932853717026,0.4938601174586225,0.5061398825413774,0.16495764600980828,initiator,defend,2
jett,788.0,621.0,115.0,176.0,100.0,143.63833943833944,218.41581196581197,90,39,0.19588360539389638,0.6376811594202898,0.44073811213626685,0.5592618878637331,0.07545931758530183,duelist,defend,5
kayo,503.0,498.0,347.0,64.0,63.0,127.67069597069597,197.11433150183151,70,27,0.12687312687312688,0.5039370078740157,0.4975024975024975,0.5024975024975025,0.25741839762611274,initiator,defend,0
killjoy,734.0,640.0,169.0,107.0,69.0,134.55187074829934,193.7358276643991,108,42,0.12809315866084425,0.6079545454545454,0.4657933042212518,0.5342066957787481,0.10952689565780946,sentinel,defend,4
neon,1734.0,1630.0,490.0,379.0,278.0,137.9735984464708,217.23946301925025,225,48,0.19530321046373364,0.5768645357686454,0.4845422116527943,0.5154577883472057,0.12714063310845874,duelist,defend,1
omen,2400.0,2540.0,1330.0,310.0,327.0,110.57860344783421,173.43994155417232,363,66,0.12894736842105264,0.48665620094191525,0.5141700404858299,0.48582995951417,0.21212121212121213,controller,defend,3
raze,983.0,887.0,210.0,171.0,137.0,146.8235930735931,223.79707792207793,119,33,0.16470588235294117,0.5551948051948052,0.474331550802139,0.5256684491978609,0.10096153846153846,duelist,defend,1
skye,600.0,662.0,287.0,81.0,63.0,112.3701672335601,174.60758219954647,89,28,0.11410459587955626,0.5625,0.5245641838351822,0.4754358161648177,0.1852808263395739,initiator,defend,3
sova,2383.0,2423.0,997.0,288.0,225.0,125.65341524730414,183.5525919759253,361,55,0.10674157303370786,0.5614035087719298,0.5041614648356222,0.49583853516437787,0.17180768567982077,initiator,defend,2
tejo,597.0,682.0,242.0,60.0,74.0,126.97806637806637,182.48535353535354,94,33,0.10476935105551212,0.44776119402985076,0.5332290852228303,0.46677091477716964,0.15910585141354372,initiator,defend,3
veto,428.0,395.0,72.0,78.0,47.0,132.16518402232688,193.81349206349208,51,21,0.15188335358444716,0.624,0.479951397326853,0.520048602673147,0.08044692737430167,sentinel,defend,4
viper,3138.0,3044.0,1194.0,412.0,371.0,131.76580573115763,198.552353316277,438,77,0.12665803946942736,0.5261813537675607,0.4923972824328696,0.5076027175671304,0.1618763557483731,controller,defend,2
waylay,2106.0,2150.0,629.0,432.0,392.0,123.8217060406136,190.44042650471224,294,63,0.19360902255639098,0.5242718446601942,0.5051691729323309,0.4948308270676692,0.12876151484135107,duelist,defend,2
yoru,3587.0,3098.0,916.0,731.0,504.0,140.7786036328344,217.60826815634508,453,66,0.18474195961106957,0.5919028340080972,0.46342557965594616,0.5365744203440539,0.12051045915011183,duelist,defend,1
