tournament,stage,match_type,match_name,map,player,team,agents,rating,acs,kills,deaths,assists,kd,kast,adr,hs,fk,fd,fkd,side,k2,k3,k4,k5,v1,v2,v3,v4,v5,econ,plants,defuses,won,score,opp_score,role
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Minny,Gentle Mates,cypher,1.33,241.0,21.0,16.0,5.0,5.0,71.0,163.0,42.0,1.0,1.0,0.0,both,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,4.0,0.0,1,13,11,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Minny,Gentle Mates,cypher,1.66,304.0,14.0,7.0,2.0,7.0,83.0,180.0,52.0,0.0,1.0,-1.0,attack,,,,,,,,,,,,,1,13,11,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Minny,Gentle Mates,cypher,0.99,179.0,7.0,9.0,3.0,-2.0,58.0,146.0,32.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,1,13,11,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,starxo,Gentle Mates,sova,1.07,207.0,17.0,15.0,4.0,2.0,58.0,125.0,26.0,4.0,5.0,-1.0,both,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,1,13,11,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,starxo,Gentle Mates,sova,1.2,244.0,10.0,7.0,3.0,3.0,58.0,153.0,38.0,2.0,3.0,-1.0,attack,,,,,,,,,,,,,1,13,11,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,starxo,Gentle Mates,sova,0.94,171.0,7.0,8.0,1.0,-1.0,58.0,97.0,14.0,2.0,2.0,0.0,defend,,,,,,,,,,,,,1,13,11,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,marteen,Gentle Mates,yoru,0.94,164.0,12.0,15.0,7.0,-3.0,63.0,107.0,26.0,2.0,4.0,-2.0,both,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,4.0,1.0,1,13,11,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,marteen,Gentle Mates,yoru,0.92,164.0,6.0,7.0,5.0,-1.0,67.0,99.0,19.0,1.0,2.0,-1.0,attack,,,,,,,,,,,,,1,13,11,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,marteen,Gentle Mates,yoru,0.95,165.0,6.0,8.0,2.0,-2.0,58.0,114.0,38.0,1.0,2.0,-1.0,defend,,,,,,,,,,,,,1,13,11,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,bipo,Gentle Mates,neon,0.93,162.0,14.0,13.0,6.0,1.0,63.0,104.0,21.0,2.0,4.0,-2.0,both,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,1,13,11,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,bipo,Gentle Mates,neon,0.98,175.0,8.0,6.0,4.0,2.0,67.0,112.0,27.0,0.0,3.0,-3.0,attack,,,,,,,,,,,,,1,13,11,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,bipo,Gentle Mates,neon,0.88,149.0,6.0,7.0,2.0,-1.0,58.0,95.0,15.0,2.0,1.0,1.0,defend,,,,,,,,,,,,,1,13,11,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,GLYPH,Gentle Mates,astra,0.85,114.0,10.0,15.0,8.0,-5.0,54.0,73.0,25.0,1.0,0.0,1.0,both,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,1,13,11,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,GLYPH,Gentle Mates,astra,0.83,89.0,4.0,6.0,2.0,-2.0,58.0,62.0,9.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,1,13,11,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,GLYPH,Gentle Mates,astra,0.87,140.0,6.0,9.0,6.0,-3.0,50.0,84.0,50.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,1,13,11,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,ZmjjKK,EDward Gaming,chamber,1.21,240.0,21.0,14.0,1.0,7.0,67.0,153.0,28.0,6.0,2.0,4.0,both,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,1.0,0,11,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,ZmjjKK,EDward Gaming,chamber,1.14,213.0,10.0,6.0,0.0,4.0,67.0,136.0,15.0,1.0,2.0,-1.0,attack,,,,,,,,,,,,,0,11,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,ZmjjKK,EDward Gaming,chamber,1.28,268.0,11.0,8.0,1.0,3.0,67.0,171.0,38.0,5.0,0.0,5.0,defend,,,,,,,,,,,,,0,11,13,sentinel
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,cb,EDward Gaming,neon,0.93,204.0,19.0,15.0,0.0,4.0,71.0,128.0,33.0,3.0,2.0,1.0,both,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0,11,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,cb,EDward Gaming,neon,1.34,319.0,15.0,7.0,0.0,8.0,83.0,203.0,39.0,2.0,2.0,0.0,attack,,,,,,,,,,,,,0,11,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,cb,EDward Gaming,neon,0.52,90.0,4.0,8.0,0.0,-4.0,58.0,53.0,17.0,1.0,0.0,1.0,defend,,,,,,,,,,,,,0,11,13,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,nobody,EDward Gaming,sova,0.92,147.0,13.0,14.0,3.0,-1.0,50.0,101.0,18.0,0.0,2.0,-2.0,both,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,1.0,0,11,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,nobody,EDward Gaming,sova,1.02,130.0,6.0,6.0,1.0,0.0,67.0,89.0,16.0,0.0,1.0,-1.0,attack,,,,,,,,,,,,,0,11,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,nobody,EDward Gaming,sova,0.82,165.0,7.0,8.0,2.0,-1.0,33.0,113.0,19.0,0.0,1.0,-1.0,defend,,,,,,,,,,,,,0,11,13,initiator
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Smoggy,EDward Gaming,omen,0.81,148.0,10.0,16.0,9.0,-6.0,71.0,104.0,23.0,3.0,2.0,1.0,both,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0,11,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Smoggy,EDward Gaming,omen,0.76,127.0,4.0,7.0,5.0,-3.0,67.0,90.0,13.0,1.0,1.0,0.0,attack,,,,,,,,,,,,,0,11,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,Smoggy,EDward Gaming,omen,0.87,170.0,6.0,9.0,4.0,-3.0,75.0,119.0,37.0,2.0,1.0,1.0,defend,,,,,,,,,,,,,0,11,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,CHICHOO,EDward Gaming,viper,0.8,146.0,11.0,15.0,5.0,-4.0,58.0,106.0,21.0,2.0,2.0,0.0,both,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,1.0,0,11,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,CHICHOO,EDward Gaming,viper,0.88,143.0,6.0,6.0,2.0,0.0,67.0,115.0,17.0,1.0,1.0,0.0,attack,,,,,,,,,,,,,0,11,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Haven,CHICHOO,EDward Gaming,viper,0.72,149.0,5.0,9.0,3.0,-4.0,50.0,97.0,27.0,1.0,1.0,0.0,defend,,,,,,,,,,,,,0,11,13,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,marteen,Gentle Mates,yoru,1.7,288.0,20.0,9.0,10.0,11.0,85.0,191.0,33.0,2.0,2.0,0.0,both,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,81.0,0.0,1.0,1,13,7,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,marteen,Gentle Mates,yoru,1.3,213.0,8.0,7.0,7.0,1.0,75.0,154.0,37.0,1.0,1.0,0.0,attack,,,,,,,,,,,,,1,13,7,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,marteen,Gentle Mates,yoru,2.29,401.0,12.0,2.0,3.0,10.0,100.0,246.0,30.0,1.0,1.0,0.0,defend,,,,,,,,,,,,,1,13,7,duelist
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,GLYPH,Gentle Mates,astra,1.46,291.0,20.0,13.0,14.0,7.0,95.0,185.0,23.0,1.0,0.0,1.0,both,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1.0,0.0,1,13,7,controller
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Pearl,GLYPH,Gentle Mates,astra,1.62,322.0,14.0,7.0,4.0,7.0,92.0,209.0,32.0,0.0,0.0,0.0,attack,,,,,,,,,,,,,1,13,7,controller
